dates,1y_yield,log_soma_nb_mbs_long,log_reserves_plus_rrp,share_onrrp,log_gdp,log_gdpdef,TermSpread,EBP
2011-01-01,0.0025999999999999999,28.313870202672796,27.735651365006632,0,30.459706659516474,4.506141628010436,0.032399999999999998,0.014298983
2011-02-01,0.0027000000000000001,28.354279494674991,27.865065041711045,0,30.454676663537164,4.507061641360964,0.034499999999999996,-0.242590374
2011-03-01,0.0023999999999999998,28.395246977827533,27.992492538350824,0.0003761912723624812,30.464258173373413,4.510323825218604,0.033099999999999997,-0.28464757
2011-04-01,0.0023,28.436227761497502,28.054980806672877,0,30.46536409449519,4.512963099994896,0.033999999999999996,-0.231961063
2011-05-01,0.0017000000000000001,28.472010656353593,28.094629338085422,0,30.46688005877266,4.515028573311109,0.031300000000000001,-0.102936128
2011-06-01,0.0017000000000000001,28.506589431657691,28.141635417367549,0.00030876524209565479,30.466648757197323,4.515313249584041,0.029599999999999998,0.013235217
2011-07-01,0.0018,28.524433114138844,28.159647364320044,0,30.464748644839453,4.518100575032126,0.029599999999999998,-0.029957105
2011-08-01,0.0011000000000000001,28.525391911789566,28.141999927960619,0.0001931704062937558,30.467225696902666,4.521397356110135,0.022800000000000001,-0.077294817
2011-09-01,0.001,28.525366398302008,28.127849230050685,0,30.466248222331608,4.521817452483332,0.019699999999999999,0.466137471
2011-10-01,0.0011000000000000001,28.522752213870277,28.125046401016192,0,30.47456317209398,4.521077167406607,0.021299999999999999,-0.06881183
2011-11-01,0.0011000000000000001,28.51159695646826,28.096263428072572,0,30.476065368752565,4.521812879984777,0.019999999999999997,0.535275721
2011-12-01,0.0011000000000000001,28.516102771607851,28.100211914917256,0,30.481087589607682,4.521986280489186,0.019699999999999999,0.313594472
2012-01-01,0.0011000000000000001,28.506788662801103,28.112953316039558,0,30.48570669331798,4.524991678947603,0.019399999999999997,0.220712314
2012-02-01,0.0015,28.509953680633263,28.137778475518584,0,30.487959005279496,4.527453955540798,0.018799999999999997,0.096939601
2012-03-01,0.0018,28.511474907228205,28.105293745013988,0.00033917397135380204,30.483109047777948,4.529984767136475,0.020900000000000002,-0.31444302
2012-04-01,0.0018,28.515123620651408,28.092677503686456,0,30.488486105750752,4.532182572676882,0.019699999999999999,-0.127930573
2012-05-01,0.0019,28.514655424081656,28.074744936153802,0,30.49045741790502,4.531178051222411,0.017100000000000001,-0.04606573
2012-06-01,0.0018,28.518360677915222,28.072753863207254,0,30.49119540017857,4.53143608239121,0.015300000000000003,0.20441541
2012-07-01,0.0018,28.516160132548592,28.090848138722723,0,30.49428464747294,4.532407007004768,0.0143,0.036221115
2012-08-01,0.0018,28.513920510772977,28.089837399533707,0,30.490883441348505,4.537503223572809,0.015799999999999998,-0.170083205
2012-09-01,0.0017000000000000001,28.510758334507383,28.048124897813423,3.9537151743588389e-05,30.489284003779403,4.54128992883486,0.0161,-0.117445678
2012-10-01,0.0017000000000000001,28.514661705890546,28.053408891232621,0,30.49003038080941,4.543261544131324,0.016500000000000001,-0.148993582
2012-11-01,0.0017000000000000001,28.526673229163116,28.067519666616885,0.00076262861279147924,30.492487982565574,4.54156005128365,0.015600000000000001,-0.017482851
2012-12-01,0.0015,28.543435042695528,28.082351479908663,0,30.49540023884877,4.541389219869238,0.016500000000000001,-0.135859201
2013-01-01,0.0014000000000000002,28.567719311756154,28.123825325096721,0,30.498064213843772,4.542846627028431,0.0184,-0.063779191
2013-02-01,0.0015,28.606058000517926,28.181105913646654,0,30.503077428272018,4.548308848070734,0.018799999999999997,0.00150747
2013-03-01,0.0014000000000000002,28.641445790656949,28.225065935445283,0,30.506219052442848,4.546943557509414,0.018699999999999998,-0.065844858
2013-04-01,0.0011999999999999999,28.671275565851804,28.265137248009324,0.00034741467787233703,30.503950822715453,4.546885913156343,0.017000000000000001,-0.091586912
2013-05-01,0.0011000000000000001,28.702432662611095,28.315127551836344,0,30.504342517611896,4.547642418755894,0.018899999999999997,-0.477593276
2013-06-01,0.0014000000000000002,28.731059054541337,28.355133875745373,0,30.507099685062407,4.55003012689211,0.022499999999999999,-0.34645013
2013-07-01,0.0011999999999999999,28.761442682326269,28.395418618016659,0,30.5068057901809,4.5513929008287795,0.025399999999999999,0.008480553
2013-08-01,0.0011999999999999999,28.792399653061373,28.444507174307031,0.0013999728694301429,30.51382301979688,4.553281824173843,0.027,-0.109454356
2013-09-01,0.0011000000000000001,28.813703912856738,28.486736733094105,0.0081416052560264515,30.52015625861168,4.554552461980228,0.027900000000000001,-0.118565645
2013-10-01,0.0011000000000000001,28.845445669930676,28.519674559361416,0.0016665557025150408,30.521515786029944,4.556217829058609,0.025700000000000001,-0.017868531
2013-11-01,0.0011999999999999999,28.874265136940132,28.555966394205697,0.0018361452949755158,30.5231503021787,4.558362955073691,0.026500000000000003,0.023392909
2013-12-01,0.0012999999999999999,28.901347231164486,28.577148891497938,0.013478412886599768,30.522201819910766,4.560467933948897,0.028299999999999999,-0.134867425
2014-01-01,0.0011000000000000001,28.921173396310465,28.597776038578825,0.027762248240852088,30.51426480964778,4.561240622911062,0.028199999999999999,-0.292866512
2014-02-01,0.0011000000000000001,28.941830595851926,28.642293284581744,0.03601041996081162,30.51756948933056,4.561687546254058,0.026599999999999999,-0.188420308
2014-03-01,0.0011999999999999999,28.960554168175406,28.647311120503232,0.031207968655581765,30.524635415547674,4.563482670910658,0.026700000000000002,-0.259681576
2014-04-01,0.001,28.978424117652253,28.673125925911268,0.042423523106527784,30.5263441756605,4.5654228135257116,0.026799999999999997,-0.3425608
2014-05-01,0.00089999999999999998,28.992158681741937,28.688568275362822,0.066300790683290617,30.531446400715968,4.5681838447584555,0.0253,-0.358928476
2014-06-01,0.001,29.000483612663164,28.674519789486407,0.041150894664517795,30.537184874695708,4.5697279759480685,0.025600000000000001,-0.29462793
2014-07-01,0.001,29.010046370997358,28.688912478201171,0.042110705856055836,30.54286822976909,4.571301675313497,0.025099999999999997,-0.310221219
2014-08-01,0.001,29.016374096588862,28.722533417967515,0.045916678609626824,30.543092769503332,4.571690429829482,0.023899999999999998,-0.304324379
